3778,2663,2910,3366,2578,1887,4039,2939,4039,2848,2595,4247,421,3038,946,2101,2578,3590,2096,2931,2595,2101,2040,700,3511,1293,1362,981,1981,2955,529,2579,647,2595,3275,1254,2595,2425,4143,3336,946,716,2049,1348,3165,2578,3590,1218,3614,3590,1218,393,3590,1218,2185,81,3326,989,3326,3590,2096,2931,1887,604,2766,546,1536,3336,2258,2663,2910,1189,1854,2805,4250,1456,3852,2595,1900,2501,635,4099,2595,438,379,3614,3101,2595,3401,732,1780,1396,1584,2005,1460,2595,635,3853,2307,70,1536,3853,1219,1092,3926,3926,3926,2375,2595,716,3878,1382,635,1382,676,989,1305,1305,1305,1305,1305,925,925	1
3038,349,676,349,3447,1808,2080,1813,784,1233,2440,1723,3590,4122,3901,2595,87,1727,495,4237,676,1691,349,2440,1723,3590,274,3511,1348,1905,3038,349,676,394,2212,2080,1813,2703,2194,3366,2578,2595,87,1727,495,4237,676,1691,349,2440,1723,3590,2838,3222,1905,3766,676,1584,979,2290,3066,2595,1685,3766,2933,2716,193,301,2080,2595,890,2454,3915,3268,3590,676,2595,2676,272,2040,4237,604,1536,1843,3264,635,2355,2634,2905,676,2773,313,2440,1723,3590,2101,3500,2595,391,3406,255,257,3778,1967,4287,3165,3590,2290,3066,2595,1343,4048,2595,2185,4080,3968,2258,2579,647,2595,3176,3176,1632,4244,604,638,2040,1239,3040,3531,1145,1619,325,1629	1
4160,1906,2595,1742,1854,4069,2663,2910,2595,2955,4237,2942,1237,1396,3614,3713,3366,2595,2955,4237,1727,2561,3133,3680,335,484,3590,1079,372,1693,2595,2099,1539,335,2285,2928,484,4042,2440,4293,4065,4143,215,3167,2851,4311,1925,604,3254,3874,2049,1331,203,2063,4080,391,4237,4042,3354,4208,136,3718,2955,2779,3521,676,3833,3590,676,949,4226,715,4065,2595,1835,1263,3283,594,2217,203,2595,2725,349,3874,143,2284,3184,2766,931,2477,2185,2683,251,2217,2595,2185,398,1396,335,484,604,635,1050,484,398,3901,4080,2494,4080,2052,1348,2076,1536,2217,2851,1536,2805,3969,1742,635,81,349,1685,4196,465,4373,3590,3901,4335,3590,604,104	0
155,2060,82,4105,432,4069,2294,469,543,350,490,3511,1192,3767,3926,4084,1813,2491,2101,2530,2076,614,2503,2060,82,4105,432,4268,1664,3940,3133,3391,1208,1079,2294,469,2595,2928,484,2294,469,1079,3590,2910,1987,2955,2620,1691,635,2982,604,3874,143,3891,4161,4069,285,3887,1655,1664,3940,4080,3760,3199,1106,716,2294,469,1472,3590,2076,3994,1218,285,3336,635,3336,2905,3729,1887,2076,1192,3767,1707,3336,937,1887,3926,2099,687,436,2446,2673,626,1691,3511,306,4195,1064,1079,2595,2185,3336,1106,543,350,2076,432,2060,82,4105,432,3590,676,2676,484,3038,3413,2101,2294,469,2076	0
3766,2933,1079,2099,2099,2099,2099,4028,3982,2218,3584,3590,2101,2663,469,2063,3511,3778,815,3969,1947,609,1673,1778,4397,4084,2084,1778,2551,4356,1524,2285,438,1887,3926,3926,4084,2099,510,2579,3475,4098,1192,335,1368,3926,4084,501,2183,2955,3550,1369,1347,4237,1359,3926,3926,2365,1887,3249,2411,1369,1683,4237,1359,3590,3766,2933,1495,2850,604,4084,266,4084,530,1348,1685,3365,1789,182,391,81,1789,182,1721,2063,490,2928,2762,2955,4237,3265,3590,1293,1789,182,3590,4084,1506,1506,1506,4084,2656,716,2299,1813,3747,1682,913,421,1727,1760,604,604,604,3952,1808,4371,3853,2707,2369,2595,3576,4199,638,3791,2805,2955,313,1293,2707,2369,4084,3810,325,2,4084	1
4311,1563,817,877,1248,1404,3630,4335,2928,3886,155,112,3366,1769,2763,2193,700,1539,1507,949,3254,1574,54,490,2177,305,1029,614,530,2928,484,3927,1697,4267,3943,3165,3713,891,2955,3354,3504,1290,2052,1135,1320,2005,1769,2763,2193,700,1539,2425,4143,3254,2845,716,604,1507,949,3778,4019,875,1742,2966,2256,3590,2052,2663,640,1079,3254,1574,54,2595,501,3391,3833,3574,620,2097,2824,3178,1623,466,1251,3072,2595,1547,2177,305,1029,831,2955,2620,3099,3521,3590,3217,1574,2595,2972,2407,446,1233,593,811,3778,3391,1079,2595,3631,529,3099,2690,1320,2005,562,2648,1009,1490,716,4204,1999,604,3265,2411,3927,1697,765,981,1183,3778,1620,1146,648,2365,398,3685,3810,325,3313,2	0
155,2084,3783,3046,3783,2057,4280,2793,2626,919,3667,2391,1447,2626,919,3667,2391,3165,3969,1138,4127,2626,421,2440,596,596,3590,1813,1447,2626,3597,2702,3902,1447,2626,2448,2164,1238,1447,4084,4105,1013,1574,3163,614,2465,3783,1563,3783,626,3035,4280,2465,1826,421,2440,596,596,3590,1813,1826,3952,3819,4388,1992,638,2955,2611,944,2090,3217,4084,1038,482,1992,919,3667,2391,4084,501,3462,2391,4084,2448,2164,1238,4084,3597,2702,3902,4371,3952,3155,2870,2084,589,1506,2117,3046,589,4084,2057,2015,3165,3502,4084,4155,773,4084,4023,1574,3163,4371,3952,4196,2127,1074,1074,1074,4069,1503,1673,1673,3662,1992,3373,3373,1673,3797,2441,4397,3373,4098,4311,3046,2084,3188,1683,2898,4371,3903,319,3853,3590,2191,3035,2595,2063,2955,313,3459,3614,1742,1392,2798,2798,2798,3952,1808,4371,3952,2703,2703,4371,4366,3354,1683,3975,510,2539,3590,1433,2798	1
388,3165,3408,147,4123,3713,2013,1421,2641,4069,1703,2934,2412,287,2403,189,1993,513,3778,2002,691,2579,2299,1396,862,3590,4252,2127,215,2259,4132,3672,3590,1488,1372,3778,3874,1079,3224,2049,2595,3874,1009,3283,594,595,1816,604,182,3366,4132,3672,3590,1396,676,4252,2127,3916,2023,1993,513,1584,2040,117,118,2595,446,3603,1820,349,676,3576,4199,604,530,1348,1993,513,3264,349,635,1820,888,1913,4332,3663,2595,3760,3199,635,3336,213,182,3366,76,3138,2955,245,888,1913,913,2955,4196,232,689,2595,1232,3158,1993,513,215,2259,4132,3672,1396,676,3590,4252,2127,4080,3603,349,131,3511,3590,3561,2076,974,182,3366,2217,2023,2595,1993,513,1707,1251,3336,1887,604	0
3354,1683,1369,4208,1683,4366,3354,1683,2301,1135,3874,2301,1135,1712,3739,3739,2928,484,4069,1826,4160,3027,3087,1826,4084,2060,4280,1826,317,1290,3354,2551,4356,4356,2333,4017,1826,4084,226,2969,1138,1618,179,2562,1372,4084,2382,1101,1995,4239,4280,4335,2564,1808,4084,1506,1506,4084,1655,1228,1228,484,4084,1619,2579,1260,1683,1369,1992,1347,4208,2,1503,1673,1673,3662,1992,3373,3373,1673,3797,2441,4397,3373,2754,3300,1673,2986,3783,2898,2084	1
155,765,981,2773,2458,4069,4199,193,1887,2595,2060,1224,1925,421,1887,3926,3926,3926,614,1369,3797,3591,193,279,2067,2477,1638,2063,3165,4308,2595,3354,3797,2501,3982,3590,2461,4406,1534,1621,2366,2413,993,635,3916,3591,193,419,258,1905,4208,3797,1369,1683,1683,4098,361,3792,274,3646,3940,1369,1683,1683,1369,1683,3653,3774,2966,2595,3797,3797,3797,3797,1685,920,4237,1224,1925,4023,2145,3064,326,635,1820,676,1079,215,258,1224,2595,2773,528,2955,3672,3664,143,1447,604,604,604,3614,1742,1074,2795,1722,313,421,1878,1878,3952,274,4389,4371	0
